row_id,ID,group,log_eye,logP_c,log_head_size_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
296,YNBA,ninth,1.151679009604802,0.0557762863020661,0.19707020802636022,1.0467781516209398,0.10490085798386217,0.03250533941119595,0.04628734518356858,0.029314804970312743,2.288052923662845,TRUE,FALSE,FALSE,TRUE
22,CPWC,female,0.7790954926963102,-0.012860115729604882,-0.28826459332543,0.904533152324216,-0.12543765962790587,0.01930932188011559,0.0461221770684514,0.02423428383324529,-2.7175230266945554,TRUE,FALSE,FALSE,TRUE
291,YBYC,ninth,0.8765098618623104,-0.03980977550533571,0.18464602654616558,1.0295407179942506,-0.15303085613194023,0.012665162692701041,0.04584948605870537,0.023340558514331065,-3.304137342200295,TRUE,FALSE,TRUE,TRUE
232,SNDZ,ninth,0.9364854391596744,0.03922071315328135,0.15095843362438366,1.0185100109175091,-0.08202457175783473,0.03682527825319896,0.046442009840266335,0.02048779431242509,-1.793092720391691,TRUE,FALSE,FALSE,TRUE
115,KIIU,tenth,1.0655724345899094,0.051432173632270706,0.37562150173161646,1.1595756263828234,-0.09400319179291405,0.02646971677241691,0.04636836197836717,0.018932455314401762,-2.0439919497002657,TRUE,FALSE,FALSE,TRUE
143,MJSX,eighth,0.7774883289936962,-0.08913484206783706,-0.18126150425014176,0.8440733838564639,-0.06658505486276767,0.049760410164676146,0.04652354703401053,0.018743151329498817,-1.465451721759972,TRUE,TRUE,FALSE,TRUE
32,DJFZ,tenth,1.2591709647906981,0.05970917023873734,0.38539624289234276,1.1660712431362006,0.09309972165449754,0.02669317610271586,0.04637440842940222,0.018735654000153416,2.0245793936142498,TRUE,FALSE,FALSE,TRUE
98,JOZD,eighth,1.024427390478733,0.007747686790825936,-0.006925086352536969,0.9545680954866894,0.06985929499204369,0.043051914016413145,0.04650829671691818,0.017600924588968486,1.5321148544392538,TRUE,TRUE,FALSE,TRUE
69,GWYL,eighth,1.0030187353839792,-0.19574457712609528,-0.027346153854669097,0.9213387393257323,0.08167999605824694,0.0309036958653608,0.04644555936719702,0.016841444560541315,1.7800965286865553,TRUE,FALSE,FALSE,TRUE
99,JPJS,female,0.7740356842932838,-0.028885417904565225,-0.3548019675963956,0.864573645685498,-0.09053796139221415,0.02520249585944983,0.04639188915958119,0.016678136927128506,-1.967364456722653,TRUE,FALSE,FALSE,TRUE
106,JXVQ,tenth,1.0492469591227807,0.04997993230502096,0.3201157941089985,1.12749936590776,-0.07825240678497924,0.03142732715749931,0.046465335418686596,0.01573656022021278,-1.7058581385182667,TRUE,FALSE,FALSE,TRUE
234,SSQG,tenth,1.0732944806838198,0.06570971002803394,0.36517925227826353,1.155077402639235,-0.08178292195541514,0.028257542461344296,0.04644560978241345,0.015354251690331904,-1.779911248417627,TRUE,FALSE,FALSE,TRUE
174,OVOZ,female,0.80692219481879,-0.04851936750482522,-0.31698935128692884,0.8842478295099893,-0.07732563469119924,0.02925816663519669,0.04647105505832812,0.014241573705327401,-1.6837706476254217,TRUE,FALSE,FALSE,TRUE
125,LEZS,eighth,0.8622568433816694,-0.10566920527287205,0.024350781091628804,0.9605812504455201,-0.0983244070638507,0.017994938244357488,0.0463412908715011,0.013839390293107495,-2.1287065022960032,TRUE,FALSE,FALSE,TRUE
311,ZSUF,eighth,0.9854435905624717,-0.17435338714477777,-0.09785081899713921,0.8830479437451146,0.10239564681735702,0.015903774978313766,0.046312740433071,0.013208681105870645,2.2144915354326193,TRUE,FALSE,FALSE,TRUE
129,LJJN,tenth,1.2658202076520162,0.08935815818032045,0.42379778077622277,1.1912874005773613,0.07453280707465493,0.028986768353556333,0.0464864706560722,0.013101343619779207,1.62272982330038,TRUE,FALSE,FALSE,TRUE
240,TKBC,ninth,1.031938155400117,0.00581638532143991,0.3172627617229318,1.1106296150185473,-0.07869145961843027,0.025311962363093764,0.0464642442147567,0.012656718564471751,-1.710039321006799,FALSE,FALSE,FALSE,FALSE
136,LRSS,ninth,0.970400057521187,0.017894489876550512,0.24055574016067816,1.0677883944595914,-0.09738833693840443,0.016622903773401487,0.04634834348441762,0.012506966582210309,-2.1069693547261066,FALSE,FALSE,FALSE,FALSE
6,AQZC,eighth,0.9240604691385157,-0.0646866802607402,0.082087072651714,0.9981139716139596,-0.07405350247544396,0.025403627981932672,0.046489778403167946,0.011251456582197525,-1.6093278338187837,FALSE,FALSE,FALSE,FALSE
14,BZCS,ninth,1.0700413316800736,-0.04706249079026503,0.11097464462868256,0.9864044430959622,0.08363688858411145,0.01911957366101793,0.046436865206664325,0.010663829209769637,1.811762005288041,FALSE,FALSE,FALSE,FALSE
301,YSQQ,eighth,0.785042445264201,-0.22002342397796615,-0.13160381429168533,0.8588138029305752,-0.07377135766637422,0.02430261694751276,0.04649150397458311,0.010657852142627919,-1.6022914671234423,FALSE,FALSE,FALSE,FALSE
67,GRRD,female,1.1016077976479082,0.15913822133829725,-0.13371415365697148,1.0115790664928448,0.09002873115506338,0.01619661998141372,0.046397891957094234,0.010404983786621016,1.9473243210477944,FALSE,FALSE,FALSE,FALSE
1,ACGN,female,0.9282193027394288,0.14578243015674164,-0.1165862606538397,1.0200197140925722,-0.09180041135314343,0.015186714400240877,0.04638666832157753,0.010123173025435485,-1.9846274397017678,FALSE,FALSE,FALSE,FALSE
287,XRPL,eighth,0.9685036033210893,-0.00501254182354427,0.1207644306719593,1.0266588015041358,-0.058155198183046486,0.035199263135441604,0.046564281756146374,0.009810853177634308,-1.270226124760154,FALSE,FALSE,FALSE,FALSE
192,QDVU,female,0.8298610038757674,0.06375696580275103,-0.2303514160350293,0.9459298841859777,-0.11606888031021023,0.008817536292912691,0.046208983872907644,0.009275621177248278,-2.5012108494914163,FALSE,FALSE,FALSE,FALSE
