row_id,ID,group,log_ear_linear,logP_c,log_foretibia_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
98,JOZD,eighth,0.5702768282281405,0.007747686790825936,-0.07231139042339985,0.4718466226356374,0.0984302055925031,0.04777532700699205,0.03642836291495649,0.0627509450063282,2.739388582925563,TRUE,TRUE,FALSE,TRUE
246,TYRB,eighth,0.5748111047879273,0.03922071315328135,-0.030599415484193315,0.5064446431061466,0.06836646168178073,0.05196776413036823,0.036662845507940696,0.033221000483607155,1.9068938379996871,TRUE,TRUE,FALSE,TRUE
67,GRRD,female,0.5220780514360255,0.15913822133829725,0.08979322731768846,0.6332310084135478,-0.11115295697752237,0.02009251852519026,0.036319035177907,0.031779345598438376,-3.0494635609304988,TRUE,FALSE,TRUE,TRUE
180,PIKP,tenth,0.5322691541671791,0.061539236108976825,0.10588731366987636,0.6123982265131006,-0.08012907234592148,0.02723261593103675,0.03658833105247618,0.02271382460254937,-2.2063813552102065,TRUE,FALSE,FALSE,TRUE
61,FYEF,female,0.7300627546235458,0.12883287184296832,0.1309880264570702,0.6646074644422268,0.0654552901813189,0.03793912495145128,0.03668409078470418,0.021587899461104076,1.812334843862622,TRUE,FALSE,FALSE,TRUE
296,YNBA,ninth,0.5917829972741367,0.0557762863020661,0.0046496507127282705,0.5313420475899541,0.06044094968418268,0.04125806849484558,0.03671272182277427,0.02015610842222165,1.676391240450174,TRUE,TRUE,FALSE,TRUE
232,SNDZ,ninth,0.6600772793076728,0.03922071315328135,0.060586956681798476,0.575066146363612,0.08501113294406082,0.020628692218267363,0.03655353881516253,0.01910588808470083,2.3329051406146863,TRUE,FALSE,FALSE,TRUE
260,VFCQ,eighth,0.49346778572174343,-0.23133674627968404,-0.11798299140750057,0.4246558016932156,0.06881198402852784,0.02983135056553378,0.03666505142402908,0.018447829697760158,1.8972974626922257,TRUE,FALSE,FALSE,TRUE
93,JDGM,female,0.49206813938461114,0.15486471056091555,0.02899069171780333,0.5846909069686889,-0.09262276758407773,0.01661964703627432,0.036493372800507996,0.01812395299457117,-2.536599802628455,TRUE,FALSE,FALSE,TRUE
244,TSPY,female,0.5623024344711817,-0.016524672332297596,-0.08396903564924285,0.48707702412788834,0.07522541034329333,0.022301851957571495,0.03662459695003339,0.01622927624331797,2.0661275727188033,TRUE,FALSE,FALSE,TRUE
259,VECM,ninth,0.4422968225654503,-0.017654935238720748,0.011329599099540122,0.5333130093693415,-0.09101618680389117,0.015292169294639545,0.036507311843307376,0.01605943512156087,-2.490920718473913,TRUE,FALSE,FALSE,TRUE
263,VHBT,tenth,0.5955957349806014,0.11914013906619814,0.1569389991510377,0.6556110732134683,-0.06001533823286698,0.033463983511229894,0.0367164499597317,0.015860057148415877,-1.6578613287995108,TRUE,FALSE,FALSE,TRUE
5,AKPI,tenth,0.530455210742049,-0.0011117288526905078,0.08726388021477094,0.5947402053609456,-0.06428499461889658,0.028847850184907667,0.03669291057615767,0.015538060359091154,-1.7715806914453323,TRUE,FALSE,FALSE,TRUE
25,CVLU,eighth,0.4252890942543869,-0.20252426411147417,-0.19516479005816523,0.36459722360098434,0.060691870653402535,0.03143033553835523,0.03671304587193087,0.01517005017029382,1.6747888329040594,TRUE,FALSE,FALSE,TRUE
304,YZUH,eighth,0.3387628998284943,-0.13464312147721302,-0.12470637050131339,0.42370853107420353,-0.08494563124570925,0.0161946985909287,0.036555531238585695,0.014841415602088832,-2.3258485568191194,TRUE,FALSE,FALSE,TRUE
88,ILNB,tenth,0.7232829897307295,0.10360898261902007,0.16900905193710392,0.6645017659630983,0.058781223767631174,0.03245729637940151,0.03672336523121933,0.014726108021643446,1.622925247799682,TRUE,FALSE,FALSE,TRUE
309,ZIER,tenth,0.526807461368687,0.0786314559158019,0.06018390077981772,0.5768357779182806,-0.05002831654959361,0.04148315385943531,0.036766054699873776,0.013891294659346501,-1.3877491768135424,TRUE,TRUE,FALSE,TRUE
105,JUYN,female,0.4097797714571917,-0.01497264380205987,-0.09966968668480458,0.47466362621449726,-0.06488385475730557,0.025413464498998197,0.036690043724417414,0.013846341079148073,-1.7849308847535665,TRUE,FALSE,FALSE,TRUE
209,RIWP,ninth,0.6444785641154667,-0.03663516966456304,0.03914764620675548,0.5545684457317036,0.08991011838376306,0.013089645379222525,0.03651722639787849,0.013354520126274116,2.4579026680008806,TRUE,FALSE,FALSE,TRUE
95,JHFO,female,0.5993042209133926,-0.03232233951774788,0.017582856389618318,0.5671049584762625,0.032199262437130116,0.043253911974657784,0.036833877917615936,0.006022301962443082,0.8940103372896194,FALSE,TRUE,FALSE,TRUE
256,UYSP,tenth,0.6218611119216094,0.09909090264423104,0.08171973653145814,0.5948902031812037,0.026970908740405752,0.04050361833411914,0.03684831583110615,0.003934023743037759,0.7477714387316069,FALSE,TRUE,FALSE,TRUE
86,IEPT,tenth,0.6604110354111142,0.1439800866228811,0.13436255032400268,0.638789932308666,0.021621103102448247,0.042405323357422656,0.036860285061324424,0.00265736558788815,0.6000424152755012,FALSE,TRUE,FALSE,TRUE
202,QYFB,female,0.46519542812646836,-0.010330958838365323,-0.13931878657290664,0.4433487371171798,0.021846691009288544,0.0403161924965505,0.03685987922316104,0.002568225693958887,0.605642783770439,FALSE,TRUE,FALSE,TRUE
23,CTFK,tenth,0.6445474488713792,-0.010892441166423739,0.1316706669368526,0.6296042782891133,0.014943170582265908,0.03906119539143876,0.036871622640190685,0.0011611230687328439,0.4139900018400306,FALSE,TRUE,FALSE,TRUE
