row_id,ID,group,log_foreleg,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
98,JOZD,eighth,3.1453369215333304,0.007747686790825936,3.2269604679825927,-0.08162354644926229,0.08179546743789555,0.03354121506747505,0.07055737851274069,-2.517220782274899,TRUE,TRUE,FALSE,TRUE
95,JHFO,female,3.2441536320524693,-0.03232233951774788,3.1415401355583814,0.10261349649408791,0.04685735558837352,0.03335478726377729,0.05928326143042062,3.1059974881494727,TRUE,FALSE,TRUE,TRUE
177,PAQJ,ninth,3.120071547809599,-0.13004541222858368,3.193629296891921,-0.07355774908232204,0.06237378840106832,0.033613965930857775,0.04190449845726301,-2.2448592970819377,TRUE,TRUE,FALSE,TRUE
296,YNBA,ninth,3.241145993513929,0.0557762863020661,3.30582930924756,-0.06468331573363129,0.06603834765886687,0.03367707132478315,0.03457672044393662,-1.977895380294788,TRUE,TRUE,FALSE,TRUE
246,TYRB,eighth,3.206641287199858,0.03922071315328135,3.2502772308219385,-0.043635943622080564,0.11855209351985291,0.033790166037091444,0.03171508005616586,-1.3734776951006589,TRUE,TRUE,FALSE,TRUE
88,ILNB,tenth,3.4024466010625876,0.10360898261902007,3.3554349577322657,0.04701164333032182,0.08637476016321136,0.03377756426809246,0.024964489150091883,1.4534394787433227,TRUE,TRUE,FALSE,TRUE
221,SBJVC,ninth,3.2844575516774692,-0.10274049412361563,3.2101161343978317,0.0743414172796375,0.03707440716299438,0.033615494932143636,0.024121903207196663,2.238772872921906,TRUE,FALSE,FALSE,TRUE
202,QYFB,female,3.0800734219877417,-0.010330958838365323,3.157169390860578,-0.0770959688728361,0.033303783208772884,0.033595471262005294,0.02312267184950589,-2.3171930939391134,TRUE,FALSE,FALSE,TRUE
25,CVLU,eighth,2.998777631739951,-0.20252426411147417,3.0711806851777137,-0.07240305343776265,0.036893305532174965,0.03362999499925064,0.02276007406015465,-2.1801945291143356,TRUE,FALSE,FALSE,TRUE
23,CTFK,tenth,3.3662090327396776,-0.010892441166423739,3.317454169934863,0.04875486280481445,0.07413271695223377,0.03377034114372702,0.02243930803941742,1.4973355439820866,TRUE,TRUE,FALSE,TRUE
74,HDZC,tenth,3.349272308797236,-0.025887770952127687,3.31248013188613,0.03679217691110592,0.10438190013436476,0.033821729720517384,0.019228773599109503,1.1488666383475041,TRUE,TRUE,FALSE,TRUE
278,WWFJ,eighth,3.1058638893906734,-0.06113690578924302,3.175927380475302,-0.07006349108462873,0.028637469245900306,0.033649033804230656,0.01626359796467715,-2.100761086326641,TRUE,FALSE,FALSE,TRUE
197,QQJU,ninth,3.177136743285462,-0.010611660594594508,3.265743955809451,-0.08860721252398918,0.017396922776268996,0.03350518638510275,0.015442424487756382,-2.641530191111004,TRUE,FALSE,FALSE,TRUE
50,EWKB,ninth,3.1512177763942057,-0.11840823105030185,3.200655881420598,-0.04943810502639234,0.05050293939280326,0.0337700116604565,0.014945628395703715,-1.499306997149933,TRUE,FALSE,FALSE,TRUE
116,KORY,eighth,3.0107194033622395,-0.21484474849951463,3.062053065569944,-0.0513336622077043,0.04508867313156929,0.03376097862362455,0.014223517257220698,-1.5523737499861259,TRUE,FALSE,FALSE,TRUE
31,DFME,eighth,3.1383813484958845,-0.19473157687063614,3.0769538904037788,0.0614274580921057,0.032328491756390104,0.03370540397164132,0.01422052944237347,1.8453303797740357,TRUE,FALSE,FALSE,TRUE
150,MVOV,eighth,3.0212781805217297,-0.15163070947315793,3.108885128655336,-0.08760694813360637,0.01574026786146055,0.03351463607722113,0.013612281702984438,-2.6095117519553805,TRUE,FALSE,FALSE,TRUE
