row_id,ID,group,log_eye,logP_c,relative_head_size,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
98,JOZD,Eighth instar,1.024427390478733,0.007747686790825936,-0.10651788983813144,0.9279084852231549,0.09651890525557816,0.1279734086262495,0.04607419725052454,0.060730758784163175,2.228435005769796,TRUE,TRUE,FALSE,TRUE
296,YNBA,Ninth instar,1.151679009604802,0.0557762863020661,-0.07369190664665257,1.0447644927154895,0.10691451688931242,0.0862971121075061,0.04600805082243851,0.04577024896653037,2.411496455647488,TRUE,TRUE,FALSE,TRUE
63,GDWH,Tenth instar,1.1623692544708606,0.024286025880155604,-0.06526914593420975,1.0882231183374997,0.07414613613336085,0.14385961123741053,0.04622809772624774,0.041797433102398494,1.7277005850081775,TRUE,TRUE,FALSE,TRUE
232,SNDZ,Ninth instar,0.9364854391596744,0.03922071315328135,-0.10525625286138357,1.0174036911464184,-0.08091825198674396,0.0903138077825273,0.04620009789914465,0.027681370256774186,-1.829166083018609,TRUE,TRUE,FALSE,TRUE
95,JHFO,Female,0.981703870422387,-0.03232233951774788,0.11528797965385362,0.9226196997215826,0.059084170700804406,0.12925707887050972,0.046314986419856506,0.023053685917439077,1.3651444783696431,TRUE,TRUE,FALSE,TRUE
22,CPWC,Female,0.7790954926963102,-0.012860115729604882,0.010555036662674454,0.8947371286484379,-0.11564163595212773,0.03540358493378602,0.04595899344787022,0.01971097281229298,-2.5385975348824723,TRUE,FALSE,FALSE,TRUE
106,JXVQ,Tenth instar,1.0492469591227807,0.04997993230502096,-0.057508688916743426,1.1069793635903205,-0.0577324044675398,0.11383896965870301,0.0463239081012416,0.01871667089032917,-1.3222566826767734,TRUE,TRUE,FALSE,TRUE
99,JPJS,Female,0.7740356842932838,-0.028885417904565225,-0.04090032833410271,0.8622915296319498,-0.08825584533866593,0.05491606080604893,0.0461624250050632,0.01855108099079741,-1.957315054971264,TRUE,FALSE,FALSE,TRUE
301,YSQQ,Eighth instar,0.785042445264201,-0.22002342397796615,0.031534544096948454,0.8732225179707328,-0.08818007270653183,0.05293845909084871,0.04616355600358205,0.01777785874630509,-1.953591698148087,TRUE,FALSE,FALSE,TRUE
69,GWYL,Eighth instar,1.003018735383979,-0.19574457712609528,0.10778685468591682,0.9411082299420183,0.06191050544196075,0.08017952224558028,0.04630930504103255,0.014070504429156756,1.3917629196593098,TRUE,TRUE,FALSE,TRUE
240,TKBC,Ninth instar,1.031938155400117,0.00581638532143991,0.09040055104151855,1.108118227029466,-0.07618007162934903,0.055021101321745466,0.04623819617818268,0.013851329561617366,-1.6895956009253839,TRUE,FALSE,FALSE,TRUE
143,MJSX,Eighth instar,0.7774883289936962,-0.08913484206783706,-0.16910150780235003,0.8218962050520829,-0.0444078760583867,0.13412133259610493,0.046377257946524565,0.013665560076616054,-1.0289255011835212,TRUE,TRUE,FALSE,TRUE
